episode,guest_credit_from_rss,companies_at_episode,audience_disposition,reason,episode_url,transcript_file
19,"Richard Hinkley — Co-Founder, Repped Music",Repped Music,operators,Catalog availability and revenue recovery.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Music-Fastball-Fixing-the-hidden-gaps-in-music-catalog-revenue-w-Richard-Hinkley-e3i4hn8,../podcast/raw/transcripts/19-2026-04-21-music-fastball-fixing-the-hidden-gaps-in-music-catalog-revenue-w-richard-hinkley.txt
20,"Josh Gruss — CEO, Round Hill Music",Round Hill Music,core,Catalog investing and long-term operation.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Why-music-catalogs-dont-fit-a-5-10-year-fund-model-w-Josh-Gruss-e3itd77,../podcast/raw/transcripts/20-2026-05-05-why-music-catalogs-dont-fit-a-5-10-year-fund-model-w-josh-gruss.txt
21,"Ryan Hamilton — founder, CTLGMGMT",CTLGMGMT,operators,Active catalog operations and monetization.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Music-Fastball-Turning-passive-music-catalogs-into-active-revenue-w-Ryan-Hamilton-e3j5k4u,../podcast/raw/transcripts/21-2026-05-12-music-fastball-turning-passive-music-catalogs-into-active-revenue-w-ryan-hamilto.txt
22,Alex Bowler (Y Royalties) & Sachin Saggar (RedBrick Advisors),Y Royalties; RedBrick Advisors,operators,Valuation/royalty specialists; RedBrick already counted from episode 1.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Music-Moneyball-Live-Breaking-down-the-decay-curve-w-Alex-Bowler--Sachin-Saggar-e3jrcgf,../podcast/raw/transcripts/22-2026-05-26-music-moneyball-live-breaking-down-the-decay-curve-w-alex-bowler-sachin-saggar.txt
23,"Paul Sipio, Managing Director, Apollo",Apollo Global Management,institutional,Music asset-backed finance and capital solutions only.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/How-music-ABS-is-reshaping-the-catalog-market-w-Paul-Sipio-e3kq4pi,../podcast/raw/transcripts/23-2026-06-16-how-music-abs-is-reshaping-the-catalog-market-w-paul-sipio.txt
24,"Natalia Fontecha & Per Sundin, Pophouse Entertainment",Pophouse,core,Artist-brand/music investment and exploitation.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Why-Pophouse-is-betting-big-on-artist-brands-w-Natalia-Fontecha--Per-Sundin-e3l573n,../podcast/raw/transcripts/24-2026-06-23-why-pophouse-is-betting-big-on-artist-brands-w-natalia-fontecha-per-sundin.txt
25,"Jamie Dee Hart, Founder & CEO, Hart & Songs",Hart & Songs,context,Creator-side catalog work; core ownership/buyer fit not established.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/How-independent-artists-build-valuable-catalogs-w-Jamie-Dee-Hart-e3lord9,../podcast/raw/transcripts/25-2026-07-07-how-independent-artists-build-valuable-catalogs-w-jamie-dee-hart.txt
26,"Camille Jamet, Music Streaming Strategist",Camille Jamet (independent),context,Independent catalog-growth specialist; no assumption of current Sony or Amazon employment.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Music-Fastball-How-to-find-streaming-upside-in-your-catalog-w-Camille-Jamet-e3mvd6i,../podcast/raw/transcripts/26-2026-08-04-music-fastball-how-to-find-streaming-upside-in-your-catalog-w-camille-jamet.txt
27,See RSS description,Musonomics / NYU,context,Industry analysis and education; not catalog-investor employer.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/Music-Moneyball-x-Musonomics-Who-wins-after-the-catalog-gold-rush-e3ni9ef,../podcast/raw/transcripts/27-2026-08-18-music-moneyball-x-musonomics-who-wins-after-the-catalog-gold-rush.txt
28,"Lior Tibon, CEO and Co-Founder of Duetti",Duetti,core,Company/financing platform distinction comes from the transcript; funds is a commercial segment.,https://podcasters.spotify.com/pod/show/music-moneyball/episodes/The-Duetti-engine-powering-music-investment-at-scale-w-Lior-Tibon-e3ogs18,../podcast/raw/transcripts/28-2026-09-08-the-duetti-engine-powering-music-investment-at-scale-w-lior-tibon.txt
