companyname,segment,companywebsite,source_url,source_quote,qualification_note,verified_on,linkedincompanypageurl,linkedin_url_source,subtype,podcast_seed_episodes,priority,review_status
Litmus Music,funds,litmusmusic.com,https://www.carlyle.com/ja/node/35736,Litmus will acquire and manage music rights,Music acquisition platform; investor announcement plus current live website; acquisition activity not independently refreshed,2026-09-13,,,catalog_acquisition,20;28,1,company_verified
Lyric Capital Group,funds,lyriccapitalgroup.com,https://www.linkedin.com/company/lyriccapitalgroup,primary focus on music catalogs and music royalties,Company-authored profile; entertainment IP investment firm,2026-09-13,https://www.linkedin.com/company/lyriccapitalgroup,https://www.linkedin.com/company/lyriccapitalgroup,catalog_acquisition,20;28,1,company_verified
Multimedia Music,funds,multimediamusic.com,https://www.multimediamusic.com/,Acquiring and Managing Premium Film and TV Music.,"Acquires master, publishing and composer rights; close Cutting Edge lookalike.",2026-09-13,,,screen_music_investor,14,1,company_verified
MusicBird,funds,musicbird.com,https://musicbird.com/catalogue-acquisition-jr-rotem/,Swiss-based entity seeking investments in quality music copyrights on a worldwide basis,Music catalog investor,2026-09-13,,,catalog_acquisition,20;28,1,company_verified
Pophouse,funds,pophouse.se,https://pophouse.se/press-room/pophouse-acquires-a-majority-stake-in-the-music-interests-of-icon-tina-turner/,global entertainment and music investment firm,Music investment and rights operator,2026-09-13,,,catalog_acquisition,24,1,company_verified
Pythagoras Music Fund,funds,pythagorasmusicfund.com,https://pythagorasmusicfund.com/,investment fund acquiring music rights worldwide with a focus on continental Europe,Includes Nanada and Red Bullet portfolios; avoid adding those as independent buyers.,2026-09-13,https://www.linkedin.com/company/pythagoras-music-fund/,https://pythagorasmusicfund.com/,catalog_acquisition,20,1,company_verified
Recognition Music Group,funds,recognitionmusicgroup.com,https://www.recordoftheday.com/on-the-move/news-press/sony-music-publishing-agrees-to-acquire-complete-catalog-of-recognition-music-group,agreement to acquire the complete music rights portfolio of Recognition Music Group,"Sony company press release syndicated 2026-05-12 announces complete catalog sale, subject to customary closing conditions; Blackstone also expresses intention to continue music investment through Recognition. Hold pending current operating remit, closing and employer verification; not treated as dissolved or necessarily inactive.",2026-09-13,,,catalog_acquisition,20;28,1,hold
Rezonate Music Rights,funds,rezonatemusicrights.com,https://uk.linkedin.com/company/rezonate-music-rights,Rezonate Music Rights is the leading solution for music producers rights acquisition.,Direct anchor; official company LinkedIn identity supports business. Domain redirects to rezonate.music; verify LinkedIn match carefully.,2026-09-13,https://www.linkedin.com/company/rezonate-music-rights/,https://uk.linkedin.com/company/rezonate-music-rights,producer_royalties,04,1,company_verified
Round Hill Music,funds,roundhillmusic.com,https://www.roundhillmusic.com/,Specialist Music Investment Platform Round Hill Music,Music investment platform and rights operator,2026-09-13,,,catalog_acquisition,20,1,company_verified
Royalty Access Studio,funds,royaltyaccessstudio.com,https://royaltyaccessstudio.com/,Music royalty advances,Official company page confirms relevant music activity; senior executive and commercial qualification remains.,2026-09-13,,,royalty_finance,04;28,1,company_verified
Shamrock Capital,funds,shamrockcap.com,https://shamrockcap.com/content-strategy/,investments include acquiring underlying copyrights or participatory rights to income streams,Content investment strategy includes music; use content-investment roles,2026-09-13,,,catalog_acquisition,20;28,1,company_verified
SNAFU,funds,snafurecords.com,https://snafurecords.com/,"Snafu offers catalog financing, marketing, and creative services to artists, labels, and distributors","Financing plus catalog development; close Duetti operating-model lookalike, not a legal fund classification.",2026-09-13,,,royalty_finance,28,1,company_verified
Sound Royalties,funds,soundroyalties.com,https://soundroyalties.com/,Catalog Sale Bridge Financing,Royalties-based financing rather than music copyright ownership.,2026-09-13,,,royalty_finance,04;28,1,company_verified
EICO Music Fund,funds,eicofunds.com,https://eicofunds.com/,dedicated to the acquisition and management of music rights,Music-rights investor with operating publisher DiPiú. DiPiú official about page independently corroborates EICO Publishing group relationship; EICO presentation names operating team. Priority is ICP fit only; return and regulatory claims not evaluated.,2026-09-13,https://www.linkedin.com/company/eico-funds-sicav-plc/,https://eicofunds.com,catalog_acquisition,20;28,1,company_verified
Apollo Global Management,institutional,apollo.com,https://www.apollo.com/insights-news/insights/2025/01/apollo-leads-largest-ever-music-abs-transaction-for-concord,Apollo’s Capital Solutions and Asset-Backed Finance teams,Direct podcast anchor; restrict to music/content asset-backed finance and capital solutions.,2026-09-13,,,music_abs,23,3,company_verified
Ares Management,institutional,aresmgmt.com,https://www.northleafcapital.com/news/goldstate-music-raises-us500-million-strategic-capital-investment-northleaf-capital-and-ares,Ares Management funds,Co-investor primary announcement supplies identity and music financing relationship; music/GoldState team only.,2026-09-13,,,music_credit,23,3,company_verified
Bain Capital,institutional,baincapital.com,https://www.baincapital.com/news/warner-music-group-and-bain-capital-announce-launch-joint-venture-invest-12-billion-iconic,WMG and Bain Capital will together source and acquire the catalogs,"Catalog venture with Warner; target participating music investment team, not every Bain executive.",2026-09-13,https://www.linkedin.com/company/bain-capital/,https://www.baincapital.com:443/,music_equity,23,3,company_verified
Bridgepoint,institutional,bridgepointgroup.com,https://www.bridgepointgroup.com/content/dam/bridgepoint/corporate2022/documents/financial-information/results_reports_presentations/2025/bridgepoint-interim-results-2025-presentation.pdf.downloadasset.pdf,Rezonate Music Rights | BCO investment,Primary investor presentation; music/credit team only.,2026-09-13,,,music_credit,04,3,company_verified
ICM Asset Management,institutional,icmassetmanagement.com,https://www.icmassetmanagement.com/what-we-do/music-royalty-2/,ICM Crescendo Music Royalty Fund,Target Crescendo/music royalties team only; manager also invests outside music.,2026-09-13,https://www.linkedin.com/company/icmassetmgmt/,https://www.icmassetmanagement.com/,music_royalty_team,20;23,3,company_verified
M&G,institutional,mandg.com,https://mandg.myidx.cloud/~/media/Files/M/MandG-Plc/documents/press-kit/2025/17-08-2025-mg-strikes-a-chord-with-%24300-million-seeker-music-portfolio.pdf,Founded by M&G in Los Angeles in 2020,Direct podcast anchor through Seeker; music/private assets team only.,2026-09-13,,,music_equity,11,3,company_verified
Northleaf Capital Partners,institutional,northleafcapital.com,https://www.northleafcapital.com/news/goldstate-music-raises-us500-million-strategic-capital-investment-northleaf-capital-and-ares,structured capital facility co-led by Northleaf Capital Partners,GoldState transaction primary announcement. Restrict to music asset-based specialty finance; not all private markets executives.,2026-09-13,,,music_credit,23,3,company_verified
Searchlight Capital Partners,institutional,searchlightcap.com,https://www.dlapiper.com/en-sk/news/2026/02/dla-piper-advises-chord-music-partners-in-additional-investment-from-searchlight-capital,additional capital will support the growth of Chord’s recorded music and publishing catalogs,Deal counsel primary transaction report; restrict to Chord/media investment team.,2026-09-13,,,music_equity,23,3,company_verified
APM Music,operators,apmmusic.com,https://form.apmmusic.com/composer-submission/,APM is the licensing agent for our various libraries,Production music licensing operator; represented libraries are not assumed to be owned. Keep optional operator audience.,2026-09-13,,,sync_operator,14,3,company_verified
Artisan,operators,artisan1.com,https://artisan1.com/,sell-side advisory for companies and catalog owners,Brian Richards firm; not Artisan Partners investment manager.,2026-09-13,,,transaction_adviser,09,3,company_verified
CTLGMGMT,operators,catalogmgmt.com,https://catalogmgmt.com/,"Helping investors, labels, publishers, and catalog owners organize, optimize, and monetize music rights",Direct podcast anchor.,2026-09-13,https://www.linkedin.com/company/catalogmgmt/,https://catalogmgmt.com/,catalog_operations,21,3,company_verified
Fix Music,operators,fixmusic.ai,https://fixmusic.ai/,Fix your music data. Find your royalties.,Direct podcast anchor; metadata and royalty recovery.,2026-09-13,https://www.linkedin.com/company/fix-music/,https://www.fixmusic.ai/,catalog_operations,02,3,company_verified
Fox Rothschild,operators,foxrothschild.com,https://www.foxrothschild.com/cynthia-l-katz,"sale, acquisition, and financing of music catalogs",Direct podcast anchor via Cynthia Katz. Restrict to music transactions team; no blanket law-firm executive targeting.,2026-09-13,,,music_counsel,13,3,company_verified
Lewis Silkin,operators,lewissilkin.com,https://www.lewissilkin.com/experts/cliff-fluet,"Handling and advising on the acquisition of rights, revenues and catalogues in music",Direct podcast anchor via Cliff Fluet. Music/media practice only; adviser/referral audience.,2026-09-13,https://www.linkedin.com/company/lewis-silkin/,https://www.lewissilkin.com/,music_counsel,15;16,3,company_verified
Michelman & Robinson,operators,mrllp.com,https://www.mrllp.com/attorneys/michael-s-poster/,"Michael helps clients close transactions spanning music publishing, recorded rights, and entertainment finance",Direct podcast anchor via Michael Poster. Restrict to music acquisitions/financing practice; optional adviser audience.,2026-09-13,,,music_counsel,03,3,company_verified
Moghan Music,operators,moghanmusic.com,https://moghanmusic.com/,Moghan Music specializes in the valuation of recorded music and music publishing catalogs.,Direct podcast anchor.,2026-09-13,,,valuation_adviser,10,3,company_verified
Musicow,operators,musicow.io,https://musicow.io/learn/1/,"Musicow works with songwriters, producers, and rights holders to acquire royalty interests in music.","US platform; investors buy economic interests, not underlying copyright.",2026-09-13,,,royalty_marketplace,04;28,3,company_verified
RedBrick Advisors,operators,redbrick-advisors.com,https://redbrick-advisors.com/about-redbrick-advisors/,valuing music copyright and entertainment IP assets,Direct podcast anchor; partnered with Shot Tower; not Red Brick Songs publisher.,2026-09-13,,,valuation_adviser,01;22,3,company_verified
Repped Music,operators,reppedmusic.com,https://reppedmusic.com/,availability and quality of digital music catalogues,"Direct podcast anchor; catalog availability, metadata and asset improvements.",2026-09-13,,,catalog_operations,19,3,company_verified
Revelator,operators,revelator.com,https://revelator.com/,Unlock the Value of Independent Music,Technology/provider adjacency; separate from rightsholders.,2026-09-13,https://www.linkedin.com/company/revelator-enterprises/,https://revelator.com/,rights_technology,02;21,3,company_verified
Royalty Exchange,operators,royaltyexchange.com,https://royaltyexchange.com/,The online marketplace for both.,Marketplace connecting creators and investors; not itself classified as a music fund.,2026-09-13,,,royalty_marketplace,04;28,3,company_verified
Score A Score,operators,scoreascore.com,https://scoreascore.com/,"curated music pulls, turnkey licensing, bespoke music production",Licensing/composition provider; rights ownership not established.,2026-09-13,https://www.linkedin.com/company/score-a-score/,https://scoreascore.com/,sync_operator,14,3,company_verified
Seasons Music Group,operators,seasonsmusicgroup.com,https://seasonsmusicgroup.com/,Music Catalog Sales and Entertainment Deal Advisory Services,Direct podcast anchor; advisory business rather than fund.,2026-09-13,,,transaction_adviser,17,3,company_verified
SongVest,operators,songvest.com,https://songvest.com/,Invest in Music Royalties,Marketplace; not all users are a fund or rights-owning company.,2026-09-13,https://www.linkedin.com/company/songvest/,https://www.songvest.com/,royalty_marketplace,04;28,3,company_verified
Y Royalties,operators,yroyalties.co.uk,https://yroyalties.co.uk/,Rights Management & Royalty Tracking,Official company page confirms relevant music activity; senior executive and commercial qualification remains.,2026-09-13,https://www.linkedin.com/company/y-royalties/,https://www.yroyalties.co.uk/,royalty_adviser,22,3,company_verified
22D Music Group,rightsholders,22dmusic.com,https://22dmusic.com/en/,independent music rights management company,"Audiovisual rights specialist; site announces Velvetica stake, so avoid counting it independently.",2026-09-13,https://www.linkedin.com/company/22d-music-group/,https://www.22dmusic.com/en/,screen_music,14,1,company_verified
ALIBI Music,rightsholders,alibimusic.com,https://alibimusic.com/,All our music is exclusively represented by ALIBI Music in perpetuity,Company website confirms relevant music activity; individual executive remit and commercial fit remain to be qualified.,2026-09-13,,,production_music,14,1,company_verified
Anthem Entertainment,rightsholders,anthem.music,https://anthem.music/category/press-release/,home to both Anthem Music Publishing and Anthem Records,Current domain redirects from anthementertainment.com; unrelated Australian event company excluded,2026-09-13,https://www.linkedin.com/company/anthementertainmentgroup/,https://anthem.music,publisher_label_group,07,1,company_verified
Audio Network,rightsholders,audionetwork.com,https://audionetwork.com/content/who-we-are,world-class catalogue of original music,Production music licensing; confirm group overlap during matching.,2026-09-13,https://www.linkedin.com/company/536154/,https://www.audionetwork.com/content/who-we-are,production_music,14,1,company_verified
BAM Music,rightsholders,bammusic.com,https://bammusic.com/,"Highly curated music for film, TV, advertising and social media.",Company website confirms relevant music activity; individual executive remit and commercial fit remain to be qualified.,2026-09-13,,,production_music,14,1,company_verified
BMG Production Music,rightsholders,bmgproductionmusic.com,https://bmgproductionmusic.com/en-us,"Music for Film, TV & Ads",BMG operating employer; overlaps BMG parent.,2026-09-13,,,production_music,14,1,company_verified
Cavendish Music,rightsholders,cavendishmusic.com,https://cavendishmusic.com/,independent production music publisher,Company website confirms relevant music activity; individual executive remit and commercial fit remain to be qualified.,2026-09-13,,,production_music,14,1,company_verified
Cinq Music Group,rightsholders,cinqmusic.com,https://www.cinqmusic.com/about,We buy iconic catalogs and companies from culture-defining creators,Label publisher and catalog acquirer,2026-09-13,https://www.linkedin.com/company/cinq-music/,https://cinqmusic.com,publisher_label_group,07,1,company_verified
Cutting Edge Group,rightsholders,cuttingedgegroup.com,https://www.cuttingedgegroup.com/,Music licensing. Music supervision. Music publishing. And more.,Direct podcast anchor; screen music owner/operator; consolidate its imprints at group level. Company LinkedIn page is named Cutting Edge Media Music and links back to the group website.,2026-09-13,https://www.linkedin.com/company/cutting-edge-media-music/,https://www.cuttingedgegroup.com/,screen_music,14,1,company_verified
Epidemic Sound,rightsholders,epidemicsound.com,https://epidemicsound.com/,We own all rights to our music,Company website confirms relevant music activity; individual executive remit and commercial fit remain to be qualified.,2026-09-13,https://www.linkedin.com/company/epidemic-sound/,https://www.epidemicsound.com/,production_music,14;28,1,company_verified
Extreme Music,rightsholders,extrememusic.com,https://extrememusic.com/,Production Music Designed to Inspire,Operating production-music brand; parent group overlap must be considered.,2026-09-13,,,production_music,14,1,company_verified
Iconic Artists Group,rightsholders,iconicartistsgroup.com,https://iconicartistsgroup.com/licensing/,Iconic Artists Group™ licensing team,Artist legacy/music and associated IP; primary licensing roster verified.,2026-09-13,,,artist_legacy,06;24,1,company_verified
Nippon Television Music,rightsholders,ntvm.co.jp,https://ntvm.co.jp/,私たちは､日本テレビグループの音楽出版社です。,"Nippon Television group music publisher; master production and song copyright management. Restrict to music, not character merchandise.",2026-09-13,,,screen_music,14,1,company_verified
One Media iP Group,rightsholders,omip.co.uk,https://omip.co.uk/home/,"digital music rights acquirer, publisher and distributor",Acquisition and monetization business; Harmony iP and Point Classics consolidated.,2026-09-13,,,catalog_owner_operator,19;20,1,company_verified
Phoenix Music International,rightsholders,phoenixmusicinternational.com,https://www.phoenixmusicinternational.com/phoenixmusicinternational,We control various rights and assets of a number of UK record labels,Master and composition catalog licensing; a strong catalog-operations lookalike.,2026-09-13,,,catalog_owner_operator,06;19,1,company_verified
Position Music,rightsholders,positionmusic.com,https://www.positionmusic.com/team,"We are an independent music publisher, label and synch experts",Publisher and label,2026-09-13,,,publisher_label_group,07,1,company_verified
Primary Wave,rightsholders,primarywave.com,https://primarywave.com/about/,independent publisher of iconic and legendary music,Publisher and catalog operator,2026-09-13,,,publisher_label_group,06,1,company_verified
Reservoir Media,rightsholders,reservoir-media.com,https://reservoir-media.com/,represent countless copyrights and master recordings,Publisher and recordings owner/operator,2026-09-13,,,publisher_label_group,07,1,company_verified
Seeker Music,rightsholders,seekermusic.com,https://seekermusic.com/,Catalog Acquisition & Active Management,Direct podcast anchor; existing relationship suppression must be applied before acquisition ads.,2026-09-13,https://www.linkedin.com/company/seeker-music/,https://seekermusic.com/,catalog_owner_operator,11,1,company_verified
Silva Screen Music Group,rightsholders,silvascreen.com,https://www.silvascreen.com/publishing/,"independent music publisher specialising in film, television, and media music",Soundtrack label and publishing catalog; group consolidated on one domain.,2026-09-13,,,screen_music,14,1,company_verified
Sonoton,rightsholders,sonoton.com,https://sonoton.com/,"Production Music für TV, Film und Werbung",Company website confirms relevant music activity; individual executive remit and commercial fit remain to be qualified.,2026-09-13,https://www.linkedin.com/company/sonoton/,https://sonoton.com/,production_music,14,1,company_verified
Spirit Music Group,rightsholders,spirit.music,https://spirit.music/about/,one of the world’s leading independent music publishers,Publisher; current website distinguishes from unrelated South African company,2026-09-13,https://www.linkedin.com/company/spirit-music/,https://spirit.music,publisher_label_group,07,1,company_verified
The Royalty Network,rightsholders,roynet.com,https://www.roynet.com/,We acquired the works of Rafael Vigil,Publisher and catalog operator; ownership scope varies by agreement.,2026-09-13,https://www.linkedin.com/company/3487220/,https://www.roynet.com/,publisher,07;20,1,company_verified
Universal Production Music,rightsholders,universalproductionmusic.com,https://universalproductionmusic.com/en-us,first publisher to produce green production music,Universal group operating employer; group overlap.,2026-09-13,https://www.linkedin.com/company/universal-production-music/,https://www.universalproductionmusic.com/en-us,production_music,14,1,company_verified
Vanacore Music,rightsholders,vanacoremusic.com,https://vanacoremusic.com/,Vanacore Music is a full-service composing house and licensing company,Company website confirms relevant music activity; individual executive remit and commercial fit remain to be qualified.,2026-09-13,https://www.linkedin.com/company/vanacore-music/,https://www.vanacoremusic.com/,production_music,14,1,company_verified
Warner Chappell Production Music,rightsholders,warnerchappellpm.com,https://warnerchappellpm.com/,Warner Chappell Production Music,Warner group operating employer; group overlap.,2026-09-13,https://www.linkedin.com/company/2655442/,https://www.warnerchappellpm.com/,production_music,14,1,company_verified
West One Music Group,rightsholders,westonemusic.com,https://westonemusic.com/,DISCOVER OUR INCREDIBLE PRODUCTION MUSIC CATALOGUE,Company website confirms relevant music activity; individual executive remit and commercial fit remain to be qualified.,2026-09-13,https://www.linkedin.com/company/west-one-music-group/,https://www.westonemusic.com/,production_music,14,1,company_verified
!K7 Music,rightsholders,k7.com,https://k7.com/,Sync + Licensing,Label group and artist/label services listed on official site; IMPALA member.,2026-09-13,https://www.linkedin.com/company/k7-music/,https://k7.com/,label_group,19,2,company_verified
ABKCO Music & Records,rightsholders,abkco.com,https://www.abkco.com/,Marianne Faithfull’s Complete UK Decca Catalog Set For Re-Issue,Active catalog exploitation and licensing; catalog owner/operator.,2026-09-13,,,label_publisher,06;07,2,company_verified
Aditya Music,rightsholders,adityamusic.com,https://adityamusic.com/public/about,Aditya Music owns and manages one of the largest libraries of Telugu film music,Official company page confirms relevant music activity; senior executive and commercial qualification remains.,2026-09-13,,,label,07;14,2,company_verified
Alter K,rightsholders,alter-k.com,https://alter-k.com/,"Publishing, Licensing, and Distribution.",Official company page confirms relevant music activity; senior executive and commercial qualification remains.,2026-09-13,https://www.linkedin.com/company/alterkglobalmusicservices/,https://alter-k.com/,label_publisher,07;19,2,company_verified
Amuse Inc.,rightsholders,amuse.co.jp,https://www.amuse.co.jp/about/rights/,アミューズの管理楽曲,"Japanese controlled-song licensing page, also listed by JASRAC. Music rights remit only; not Swedish Amuse distributor.",2026-09-13,,,publishing_administration,07;14,2,company_verified
Angry Mob Music,rightsholders,angrymobmusic.com,https://www.angrymobmusic.com/,"global rights administration, and a sync division built for impact",Publisher operating songwriter and producer repertoire.,2026-09-13,https://www.linkedin.com/company/angry-mob-music/,https://www.angrymobmusic.com/,publisher,07,2,company_verified
Armada Music,rightsholders,armadamusic.com,https://armadamusic.com/,Simon Dunmore Partners with Armada Music to Launch New Label,Shares group with BEAT Music Fund.,2026-09-13,https://www.linkedin.com/company/armadamusic/,https://www.armadamusic.com/,label_publisher,07,2,company_verified
Avex,rightsholders,avex.com,https://avex.com/jp/en/corp/business/music/,Avex Music Publishing Inc.,Music-business division only; do not equate all group executives with music remit.,2026-09-13,,,label_group,07;14,2,company_verified
Because Group,rightsholders,becausegroup.tv,https://www.becausegroup.tv/en/home/,acquiring the catalogues of Claude François,Publisher/label group with catalog acquisition and subpublishing.,2026-09-13,,,label_publisher,07;06,2,company_verified
Beggars Group,rightsholders,beggars.com,https://beggars.com/about/,"home of 4AD, Matador Records, Rough Trade Records, XL Recordings and Young",Label group; do not expand subsidiary labels automatically,2026-09-13,,,publisher_label_group,07,2,company_verified
Beggars Music,rightsholders,beggarsmusic.com,https://beggarsmusic.com/,An Independent Music Publishing Company,Beggars group operating publisher; overlaps group row.,2026-09-13,,,publisher,07,2,company_verified
Better Noise Music,rightsholders,betternoise.com,https://betternoise.com/about/,the company develops and nurtures artists and brands,"Label/content business with catalog marketing, licensing and royalties executives on its official team page.",2026-09-13,https://www.linkedin.com/company/eleven-seven-music-group/,https://betternoise.com/,label,06;07,2,company_verified
Big Yellow Dog Music,rightsholders,bigyellowdogmusic.com,https://www.bigyellowdogmusic.com/about,independent music publishing and artist development company,Publisher and sync operator.,2026-09-13,,,publisher,07,2,company_verified
Bigpop,rightsholders,bigpopstudios.com,https://www.bigpopstudios.com/,independent record label and music publisher,"New Zealand label/publishing/studio group. Music rights leadership, not general studio contractors.",2026-09-13,https://www.linkedin.com/company/bigpop-studios/,https://nz.linkedin.com/company/bigpop-studios,label_publisher,07;14,2,company_verified
Biscoito Fino,rightsholders,biscoitofino.com.br,https://www.biscoitofino.com.br/,Gravadora Biscoito Fino,Brazilian record label; official artist catalog and current storefront verified.,2026-09-13,,,label,07,2,company_verified
Black River Entertainment,rightsholders,blackriverent.com,https://www.blackriverent.com/publishing,Publishing Staff,"Official page lists signed writers, managed catalogs and Vice President of Publishing; publishing executive fit.",2026-09-13,,,label_publisher,07,2,company_verified
BMG,rightsholders,bmg.com,https://www.bmg.com/,BMG and Concord Complete Combination,Concord website redirects to BMG; legacy Concord held out for matching review,2026-09-13,https://www.linkedin.com/company/bmg-the-new-music-company/,https://www.bmg.com/,publisher_label_group,07,2,company_verified
Broma16,rightsholders,broma16.com,https://broma16.com/,we are experts in music rights administration and licensing,Official company page confirms relevant music activity; senior executive and commercial qualification remains.,2026-09-13,,,publishing_administration,19,2,company_verified
Bucks Music Group,rightsholders,bucksmusicgroup.com,https://www.bucksmusicgroup.com/,signing of Jack McNeilage to an exclusive worldwide publishing deal,Independent publishing and sync operations.,2026-09-13,,,publisher,07,2,company_verified
Budde Music,rightsholders,buddemusic.co.uk,https://www.buddemusic.co.uk/,truly independent and international music publishing company,Verified UK website; verify global-company match in Campaign Manager,2026-09-13,,,publisher_label_group,07,2,company_verified
CCS Rights Management,rightsholders,ccsrightsmanagement.com,https://www.ccsrightsmanagement.com/,Music Publishing and IP Management,Publisher and catalog operator; ownership scope varies by agreement.,2026-09-13,https://www.linkedin.com/company/ccs-rights-management/,https://www.ccsrightsmanagement.com/,publishing_administration,19;07,2,company_verified
Cherry Red Records,rightsholders,cherryred.co.uk,https://cherryred.co.uk/,Sale Page - low prices on hundreds of catalogue albums,Company website confirms relevant music activity; individual executive remit and commercial fit remain to be qualified.,2026-09-13,https://www.linkedin.com/company/cherry-red-records/,https://www.cherryred.co.uk/,catalog_label,06;19,2,company_verified
Chocolate City Music,rightsholders,chocolatecitymusic.com,https://chocolatecitymusic.com/,Chocolate City Music is one of Africa’s most influential record labels,Company website confirms relevant music activity; individual executive remit and commercial fit remain to be qualified.,2026-09-13,,,label,07,2,company_verified
Clouds Hill,rightsholders,cloudshill.com,https://cloudshill.com/,"studio, label, or publisher",Official company page confirms relevant music activity; senior executive and commercial qualification remains.,2026-09-13,https://www.linkedin.com/company/clouds-hill-gmbh-&-co-kg/,https://cloudshill.com/,label_publisher,07,2,company_verified
Cooking Vinyl,rightsholders,cookingvinyl.com,https://cookingvinyl.com/,Cooking Vinyl Publishing,Company website confirms relevant music activity; individual executive remit and commercial fit remain to be qualified.,2026-09-13,,,label_publisher,07,2,company_verified
Cosmos Music,rightsholders,cosmos-music.com,https://cosmos-music.com/,Proudly independent since 1966.,Company website confirms relevant music activity; individual executive remit and commercial fit remain to be qualified.,2026-09-13,,,label_publisher,07,2,company_verified
Create Music Group,rightsholders,createmusicgroup.com,https://createmusicgroup.com/,"Distribution, rights management, accounting and real-time insights",Company website confirms relevant music activity; individual executive remit and commercial fit remain to be qualified.,2026-09-13,https://www.linkedin.com/company/createmusicgroup/,https://www.createmusicgroup.com/,label_group,28,2,company_verified
CYMBA Music Publishing,rightsholders,cymbamusic.com,https://www.cymbamusic.com/,CYMBA MUSIC PUBLISHING,Publisher and catalog operator; ownership scope varies by agreement.,2026-09-13,,,publisher,07,2,company_verified
District 6 Music,rightsholders,d6music.com,https://www.d6music.com/,publishing worldwide,Publisher and catalog operator; ownership scope varies by agreement.,2026-09-13,https://www.linkedin.com/company/d6music/,https://www.d6music.com/,publisher,07,2,company_verified
Domino Publishing,rightsholders,dominopublishingco.com,https://dominopublishingco.com/,A boutique music publishing company.,Official company page confirms relevant music activity; senior executive and commercial qualification remains.,2026-09-13,,,publisher,07,2,company_verified
Downtown Music,rightsholders,downtownmusic.com,https://downtownmusic.com/,"President, DOWNTOWN MUSIC PUBLISHING","Current site lists publishing leadership and states Downtown is part of Virgin Music Group. Retain employer, review group overlap.",2026-09-13,https://www.linkedin.com/company/downtownmusic/,https://downtownmusic.com/,publishing_administration,07;19;21,2,company_verified
Downtown Music Publishing Africa,rightsholders,downtownmusic.africa,https://downtownmusic.africa/,Develop writers and grow catalogues.,Current brand at former Sheer Publishing domain; consolidate alias Sheer Publishing.,2026-09-13,https://www.linkedin.com/company/downtownmusicafrica/,https://downtownmusic.africa/,publisher,07;19,2,company_verified
